                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.28451,                0.26197,                      1,                0.69067,                0.42564,                0.52234,                0.32974,                 1.8765,                 3.9348,                 2.8366,             0.00029723,             0.00029723,             0.00029723
                     82,                0.27416,                0.25668,                0.99717,                 0.6181,                0.39103,                0.46991,                0.27516,                 2.0137,                  4.377,                 3.0747,             0.00028308,             0.00028308,             0.00028308
                     83,                0.27454,                0.25773,                0.99676,                0.58143,                0.38061,                0.41803,                0.25441,                 1.9596,                 4.3836,                 3.0057,             0.00026894,             0.00026894,             0.00026894
                     84,                0.26171,                 0.2548,                0.98854,                0.61445,                0.44902,                0.50673,                0.34951,                 1.7667,                 3.6274,                 2.7681,             0.00025479,             0.00025479,             0.00025479
                     85,                0.25882,                0.25007,                0.99342,                0.72754,                0.42568,                0.50307,                0.35258,                 1.7748,                 3.7139,                 2.7496,             0.00024064,             0.00024064,             0.00024064
                     86,                0.25715,                 0.2459,                0.99405,                0.71061,                0.41573,                0.48492,                0.32609,                 1.8403,                 3.7208,                 2.7814,              0.0002265,              0.0002265,              0.0002265
                     87,                 0.2681,                0.27575,                0.98699,                0.70733,                 0.4316,                0.48912,                0.33761,                 1.7166,                 3.7823,                  2.644,             0.00021235,             0.00021235,             0.00021235
                     88,                0.24833,                0.25103,                0.98359,                 0.6982,                0.39834,                0.46851,                0.33471,                 1.8284,                 3.8923,                 2.7581,              0.0001982,              0.0001982,              0.0001982
                     89,                0.25773,                0.24362,                0.98962,                0.73874,                 0.3891,                0.46177,                0.30844,                 1.9166,                 4.2022,                 2.8388,             0.00018406,             0.00018406,             0.00018406
                     90,                0.25672,                0.25304,                0.99207,                0.69645,                0.37019,                0.46773,                0.31834,                 1.8826,                 3.9513,                 2.8423,             0.00016991,             0.00016991,             0.00016991
                     91,                0.24295,                0.26472,                 1.0639,                0.61988,                0.39103,                0.41987,                0.28149,                 1.8918,                 4.3948,                 2.9827,             0.00015576,             0.00015576,             0.00015576
                     92,                0.18493,                 0.1804,                0.98975,                0.72838,                0.38061,                0.45725,                0.28065,                 1.8718,                 4.3153,                 2.9484,             0.00014161,             0.00014161,             0.00014161
                     93,                0.19441,                 0.1679,                0.99192,                0.68281,                0.42949,                0.43483,                 0.2733,                 1.9432,                 4.8426,                 3.0655,             0.00012747,             0.00012747,             0.00012747
                     94,                0.18527,                0.15829,                0.98956,                0.69366,                0.42949,                0.42789,                0.26837,                 1.9102,                 4.9164,                 2.9711,             0.00011332,             0.00011332,             0.00011332
                     95,                0.17597,                0.16587,                0.99124,                0.71208,                0.42776,                 0.4401,                0.26909,                 1.8646,                 4.8754,                 2.8961,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.17274,                0.17814,                0.96938,                0.65402,                0.38884,                0.41668,                0.28358,                 1.8696,                 4.7932,                 2.8639,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.16508,                0.14596,                0.97166,                0.67017,                0.38775,                0.42961,                0.29536,                 1.8255,                 4.6965,                 2.8244,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.15953,                 0.1487,                0.95081,                0.65059,                0.41864,                0.45949,                 0.3059,                 1.8665,                 4.7043,                 2.8915,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.16083,                0.14636,                0.95979,                0.63439,                0.42062,                0.46047,                0.30895,                 1.8366,                 4.6218,                 2.8321,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.15888,                0.15174,                0.94513,                0.63564,                0.45927,                0.47345,                0.31886,                 1.8518,                 4.5628,                 2.8615,             2.8437e-05,             2.8437e-05,             2.8437e-05
